,dataset_name,model,fold_n,best_params,accuracy,tpr,fpr,precision,auc-roc,auc-pr,fit_time_second,1000_predict_time_seconds
67,analcatdata_germangss.csv,baseline,7,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",0.225,0.5436363636363637,0.4281818181818182,0.22294372294372292,0.6141666666666666,0.5956589106627805,3.584005832672119,0.3699955940246582
68,analcatdata_germangss.csv,baseline,8,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.3,0.5348484848484848,0.45984848484848484,0.2951923076923077,0.56875,0.4492689315744344,1.039001703262329,0.12995481491088867
69,analcatdata_germangss.csv,baseline,9,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",0.325,0.45754716981132076,0.309433962264151,0.30833333333333335,0.6666666666666666,0.43591218373541024,3.575998544692993,0.3700442314147949
70,analcatdata_lawsuit.csv,baseline,0,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",1.0,0.75,0.2866666666666667,1.0,1.0,0.0,2.511029005050659,0.3029663562774658
71,analcatdata_lawsuit.csv,baseline,1,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.9629629629629629,0.7,0.256,0.8333333333333333,1.0,0.03333333333333336,2.5469889640808105,0.3020031452178955
72,analcatdata_lawsuit.csv,baseline,2,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",1.0,0.7,0.304,1.0,1.0,0.0,2.2790029048919678,0.23296403884887695
73,analcatdata_lawsuit.csv,baseline,3,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",1.0,0.75,0.24666666666666667,1.0,1.0,0.0,0.9399592876434326,0.11500000953674316
74,analcatdata_lawsuit.csv,baseline,4,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.7,0.25833333333333336,1.0,1.0,0.0,0.941007137298584,0.11700820922851562
75,analcatdata_lawsuit.csv,baseline,5,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",1.0,0.7,0.23333333333333334,1.0,1.0,0.0,3.112888813018799,0.39310646057128906
76,analcatdata_lawsuit.csv,baseline,6,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",1.0,0.7857142857142857,0.3273809523809524,1.0,1.0,0.0,2.7668213844299316,0.33498620986938477
77,analcatdata_lawsuit.csv,baseline,7,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",1.0,0.7857142857142857,0.2380952380952381,1.0,1.0,0.0,2.0970022678375244,0.24504661560058594
78,analcatdata_lawsuit.csv,baseline,8,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.9230769230769231,0.5714285714285714,0.2261904761904762,0.7291666666666667,0.9166666666666667,0.33420138888888895,1.765002965927124,0.22803878784179688
79,analcatdata_lawsuit.csv,baseline,9,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",1.0,0.75,0.36,1.0,1.0,0.0,0.5420153141021729,0.05199170112609863
80,annealing.csv,baseline,0,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9666666666666667,0.8421652421652421,0.14886039886039887,0.9916666666666668,0.9986956521739131,1.0,5.182602405548096,0.5207152366638184
81,annealing.csv,baseline,1,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.9444444444444444,0.8813238770685579,0.22706855791962174,0.9864864864864865,0.997463768115942,1.0,0.8380019664764404,0.08499479293823242
82,annealing.csv,baseline,2,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9777777777777777,0.8048780487804879,0.12127371273712735,0.9929577464788732,-1.0,,4.845808506011963,1.9614527225494385
83,annealing.csv,baseline,3,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9555555555555556,0.8042424242424243,0.1572222222222222,0.9337686567164178,-1.0,,4.071993350982666,0.5180041790008545
84,annealing.csv,baseline,4,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9666666666666667,0.8434343434343433,0.1627525252525253,0.9719806763285025,0.9995588235294118,1.0,3.9584946632385254,0.4099998474121094
